2025,Sunrise/Sunset,,Daylength,,Astronomical Twilight,,Nautical Twilight,,Civil Twilight,,Solar Noon,
Mar,Sunrise,Sunset,Length,Diff.,Start,End,Start,End,Start,End,Time,Mil. km
,,,,,,,,,,,,
1,06:48 ? (101°),17:42 ? (259°),10:54:30,+3:59,04:56,19:35,05:35,18:56,06:14,18:16,12:15 (30.6°),148.245
2,06:46 ? (100°),17:44 ? (260°),10:58:30,+4:00,04:54,19:37,05:33,18:57,06:12,18:18,12:15 (31.0°),148.281
3,06:44 ? (100°),17:46 ? (260°),11:02:31,+4:00,04:51,19:39,05:31,18:59,06:10,18:20,12:14 (31.4°),148.318
4,06:41 ? (99°),17:48 ? (261°),11:06:32,+4:00,04:49,19:40,05:29,19:01,06:08,18:22,12:14 (31.8°),148.354
5,06:39 ? (99°),17:50 ? (262°),11:10:33,+4:01,04:47,19:42,05:26,19:03,06:05,18:23,12:14 (32.1°),148.391
6,06:37 ? (98°),17:51 ? (262°),11:14:35,+4:01,04:45,19:44,05:24,19:04,06:03,18:25,12:14 (32.5°),148.428
7,06:35 ? (97°),17:53 ? (263°),11:18:36,+4:01,04:42,19:46,05:22,19:06,06:01,18:27,12:13 (32.9°),148.465
8,06:32 ? (97°),17:55 ? (264°),11:22:38,+4:01,04:40,19:48,05:20,19:08,05:59,18:29,12:13 (33.3°),148.503
9,06:30 ? (96°),17:57 ? (264°),11:26:40,+4:02,04:37,19:50,05:17,19:10,05:57,18:30,12:13 (33.7°),148.541
10,06:28 ? (95°),17:59 ? (265°),11:30:43,+4:02,04:35,19:52,05:15,19:11,05:54,18:32,12:13 (34.1°),148.58
11,06:26 ? (95°),18:00 ? (266°),11:34:45,+4:02,04:33,19:54,05:13,19:13,05:52,18:34,12:12 (34.5°),148.619
12,06:23 ? (94°),18:02 ? (266°),11:38:48,+4:02,04:30,19:56,05:10,19:15,05:50,18:36,12:12 (34.9°),148.658
13,06:21 ? (94°),18:04 ? (267°),11:42:51,+4:02,04:28,19:58,05:08,19:17,05:47,18:37,12:12 (35.3°),148.698
14,06:19 ? (93°),18:06 ? (267°),11:46:53,+4:02,04:25,19:59,05:06,19:19,05:45,18:39,12:12 (35.7°),148.738
15,06:16 ? (92°),18:07 ? (268°),11:50:56,+4:02,04:23,20:01,05:03,19:21,05:43,18:41,12:11 (36.1°),148.779
16,06:14 ? (92°),18:09 ? (269°),11:54:59,+4:02,04:20,20:03,05:01,19:22,05:40,18:43,12:11 (36.4°),148.82
17,06:12 ? (91°),18:11 ? (269°),11:59:02,+4:03,04:18,20:05,04:59,19:24,05:38,18:44,12:11 (36.8°),148.862
18,06:09 ? (90°),18:13 ? (270°),12:03:05,+4:02,04:15,20:07,04:56,19:26,05:36,18:46,12:10 (37.2°),148.904
19,06:07 ? (90°),18:14 ? (271°),12:07:08,+4:03,04:12,20:09,04:54,19:28,05:33,18:48,12:10 (37.6°),148.946
20,06:05 ? (89°),18:16 ? (271°),12:11:11,+4:03,04:10,20:12,04:51,19:30,05:31,18:50,12:10 (38.0°),148.988
21,06:02 ? (88°),18:18 ? (272°),12:15:14,+4:02,04:07,20:14,04:49,19:32,05:29,18:52,12:10 (38.4°),149.031
22,06:00 ? (88°),18:19 ? (273°),12:19:17,+4:02,04:05,20:16,04:46,19:33,05:26,18:53,12:09 (38.8°),149.074
23,05:58 ? (87°),18:21 ? (273°),12:23:20,+4:02,04:02,20:18,04:44,19:35,05:24,18:55,12:09 (39.2°),149.117
24,05:56 ? (86°),18:23 ? (274°),12:27:23,+4:02,03:59,20:20,04:41,19:37,05:22,18:57,12:09 (39.6°),149.16
25,05:53 ? (86°),18:25 ? (275°),12:31:26,+4:02,03:56,20:22,04:39,19:39,05:19,18:59,12:08 (40.0°),149.204
26,05:51 ? (85°),18:26 ? (275°),12:35:28,+4:02,03:54,20:24,04:36,19:41,05:17,19:00,12:08 (40.4°),149.247
27,05:49 ? (85°),18:28 ? (276°),12:39:31,+4:02,03:51,20:26,04:34,19:43,05:15,19:02,12:08 (40.8°),149.29
28,05:46 ? (84°),18:30 ? (276°),12:43:33,+4:02,03:48,20:29,04:31,19:45,05:12,19:04,12:07 (41.2°),149.333
29,05:44 ? (83°),18:32 ? (277°),12:47:35,+4:02,03:45,20:31,04:29,19:47,05:10,19:06,12:07 (41.6°),149.376
Note: hours shift because clocks change forward 1 hour. (See the note below this table for details),,,,,,,,,,,,
30,06:42 ? (83°),19:33 ? (278°),12:51:37,+4:01,04:43,21:33,05:26,20:49,06:07,20:08,13:07 (41.9°),149.418
31,06:39 ? (82°),19:35 ? (278°),12:55:38,+4:01,04:40,21:35,05:24,20:51,06:05,20:09,13:07 (42.3°),149.461
Apr,Sunrise,Sunset,Length,Diff.,Start,End,Start,End,Start,End,Time,Mil. km
,,,,,,,,,,,,
1,06:37 ? (81°),19:37 ? (279°),12:59:39,+4:01,04:37,21:38,05:21,20:53,06:03,20:11,13:06 (42.7°),149.503
2,06:35 ? (81°),19:38 ? (280°),13:03:40,+4:00,04:34,21:40,05:19,20:55,06:00,20:13,13:06 (43.1°),149.545
3,06:32 ? (80°),19:40 ? (280°),13:07:41,+4:00,04:31,21:42,05:16,20:57,05:58,20:15,13:06 (43.5°),149.587
4,06:30 ? (79°),19:42 ? (281°),13:11:41,+4:00,04:28,21:45,05:14,20:59,05:56,20:17,13:05 (43.9°),149.629
5,06:28 ? (79°),19:44 ? (281°),13:15:41,+3:59,04:25,21:47,05:11,21:01,05:53,20:18,13:05 (44.2°),149.671
6,06:26 ? (78°),19:45 ? (282°),13:19:40,+3:59,04:22,21:50,05:08,21:03,05:51,20:20,13:05 (44.6°),149.713
7,06:23 ? (78°),19:47 ? (283°),13:23:39,+3:58,04:19,21:52,05:06,21:05,05:48,20:22,13:05 (45.0°),149.755
8,06:21 ? (77°),19:49 ? (283°),13:27:38,+3:58,04:16,21:54,05:03,21:07,05:46,20:24,13:04 (45.4°),149.796
9,06:19 ? (76°),19:50 ? (284°),13:31:35,+3:57,04:13,21:57,05:01,21:09,05:44,20:26,13:04 (45.7°),149.838
10,06:17 ? (76°),19:52 ? (285°),13:35:33,+3:57,04:10,22:00,04:58,21:11,05:41,20:28,13:04 (46.1°),149.88
11,06:14 ? (75°),19:54 ? (285°),13:39:30,+3:56,04:07,22:02,04:55,21:13,05:39,20:29,13:03 (46.5°),149.922
12,06:12 ? (75°),19:56 ? (286°),13:43:26,+3:56,04:04,22:05,04:53,21:15,05:37,20:31,13:03 (46.8°),149.965
13,06:10 ? (74°),19:57 ? (286°),13:47:22,+3:55,04:01,22:07,04:50,21:17,05:34,20:33,13:03 (47.2°),150.007
14,06:08 ? (73°),19:59 ? (287°),13:51:16,+3:54,03:58,22:10,04:48,21:20,05:32,20:35,13:03 (47.6°),150.049
15,06:05 ? (73°),20:01 ? (288°),13:55:11,+3:54,03:54,22:13,04:45,21:22,05:30,20:37,13:02 (47.9°),150.091
16,06:03 ? (72°),20:02 ? (288°),13:59:04,+3:53,03:51,22:16,04:42,21:24,05:27,20:39,13:02 (48.3°),150.134
17,06:01 ? (72°),20:04 ? (289°),14:02:57,+3:52,03:48,22:18,04:40,21:26,05:25,20:40,13:02 (48.6°),150.176
18,05:59 ? (71°),20:06 ? (289°),14:06:49,+3:51,03:45,22:21,04:37,21:28,05:23,20:42,13:02 (49.0°),150.218
19,05:57 ? (70°),20:07 ? (290°),14:10:40,+3:51,03:41,22:24,04:34,21:30,05:20,20:44,13:02 (49.3°),150.26
20,05:55 ? (70°),20:09 ? (291°),14:14:30,+3:50,03:38,22:27,04:32,21:33,05:18,20:46,13:01 (49.7°),150.302
21,05:53 ? (69°),20:11 ? (291°),14:18:19,+3:49,03:35,22:30,04:29,21:35,05:16,20:48,13:01 (50.0°),150.344
22,05:50 ? (69°),20:13 ? (292°),14:22:08,+3:48,03:31,22:33,04:27,21:37,05:13,20:50,13:01 (50.3°),150.385
23,05:48 ? (68°),20:14 ? (292°),14:25:55,+3:47,03:28,22:36,04:24,21:39,05:11,20:52,13:01 (50.7°),150.427
24,05:46 ? (68°),20:16 ? (293°),14:29:41,+3:46,03:25,22:39,04:21,21:42,05:09,20:54,13:01 (51.0°),150.467
25,05:44 ? (67°),20:18 ? (293°),14:33:26,+3:44,03:21,22:42,04:19,21:44,05:07,20:56,13:00 (51.3°),150.508
26,05:42 ? (66°),20:19 ? (294°),14:37:09,+3:43,03:18,22:46,04:16,21:46,05:04,20:57,13:00 (51.7°),150.548
27,05:40 ? (66°),20:21 ? (295°),14:40:52,+3:42,03:14,22:49,04:13,21:49,05:02,20:59,13:00 (52.0°),150.587
28,05:38 ? (65°),20:23 ? (295°),14:44:32,+3:40,03:10,22:52,04:11,21:51,05:00,21:01,13:00 (52.3°),150.626
29,05:36 ? (65°),20:24 ? (296°),14:48:12,+3:39,03:07,22:56,04:08,21:53,04:58,21:03,13:00 (52.6°),150.664
30,05:34 ? (64°),20:26 ? (296°),14:51:50,+3:37,03:03,22:59,04:06,21:56,04:56,21:05,13:00 (52.9°),150.702
May,Sunrise,Sunset,Length,Diff.,Start,End,Start,End,Start,End,Time,Mil. km
,,,,,,,,,,,,
1,05:32 ? (64°),20:28 ? (297°),14:55:26,+3:36,02:59,23:03,04:03,21:58,04:54,21:07,13:00 (53.2°),150.74
2,05:31 ? (63°),20:30 ? (297°),14:59:00,+3:34,02:56,23:07,04:00,22:00,04:51,21:09,12:59 (53.5°),150.776
3,05:29 ? (63°),20:31 ? (298°),15:02:33,+3:32,02:52,23:10,03:58,22:03,04:49,21:11,12:59 (53.8°),150.813
4,05:27 ? (62°),20:33 ? (298°),15:06:04,+3:30,02:48,23:14,03:55,22:05,04:47,21:13,12:59 (54.1°),150.849
5,05:25 ? (62°),20:35 ? (299°),15:09:33,+3:28,02:44,23:18,03:53,22:08,04:45,21:15,12:59 (54.4°),150.884
6,05:23 ? (61°),20:36 ? (299°),15:12:59,+3:26,02:40,23:22,03:50,22:10,04:43,21:16,12:59 (54.7°),150.919
7,05:21 ? (61°),20:38 ? (300°),15:16:24,+3:24,02:35,23:26,03:48,22:12,04:41,21:18,12:59 (54.9°),150.954
8,05:20 ? (60°),20:39 ? (300°),15:19:46,+3:22,02:31,23:31,03:45,22:15,04:39,21:20,12:59 (55.2°),150.989
9,05:18 ? (60°),20:41 ? (301°),15:23:07,+3:20,02:27,23:35,03:43,22:17,04:37,21:22,12:59 (55.5°),151.023
10,05:16 ? (59°),20:43 ? (301°),15:26:24,+3:17,02:22,23:40,03:40,22:20,04:35,21:24,12:59 (55.7°),151.057
11,05:15 ? (59°),20:44 ? (302°),15:29:40,+3:15,02:17,23:45,03:38,22:22,04:33,21:26,12:59 (56.0°),151.091
12,05:13 ? (58°),20:46 ? (302°),15:32:52,+3:12,02:12,23:50,03:35,22:25,04:31,21:28,12:59 (56.2°),151.125
13,05:11 ? (58°),20:47 ? (302°),15:36:02,+3:09,02:07,23:56,03:33,22:27,04:30,21:29,12:59 (56.5°),151.158
14,05:10 ? (57°),20:49 ? (303°),15:39:09,+3:07,02:02,-,03:30,22:29,04:28,21:31,12:59 (56.7°),151.191
15,05:08 ? (57°),20:50 ? (303°),15:42:14,+3:04,-,00:02,03:28,22:32,04:26,21:33,12:59 (57.0°),151.224
,,,,,01:56,-,,,,,,
16,05:07 ? (57°),20:52 ? (304°),15:45:15,+3:01,-,00:08,03:25,22:34,04:24,21:35,12:59 (57.2°),151.256
,,,,,01:49,-,,,,,,
17,05:05 ? (56°),20:54 ? (304°),15:48:13,+2:58,-,00:15,03:23,22:37,04:23,21:37,12:59 (57.4°),151.288
,,,,,01:42,-,,,,,,
18,05:04 ? (56°),20:55 ? (305°),15:51:08,+2:54,-,00:24,03:21,22:39,04:21,21:38,12:59 (57.6°),151.32
,,,,,01:33,-,,,,,,
19,05:02 ? (55°),20:56 ? (305°),15:53:59,+2:51,-,00:35,03:18,22:42,04:19,21:40,12:59 (57.8°),151.351
,,,,,01:22,-,,,,,,
20,05:01 ? (55°),20:58 ? (305°),15:56:47,+2:48,Rest of night,,03:16,22:44,04:18,21:42,12:59 (58.1°),151.382
21,05:00 ? (55°),20:59 ? (306°),15:59:32,+2:44,Rest of night,,03:14,22:46,04:16,21:43,12:59 (58.3°),151.412
22,04:59 ? (54°),21:01 ? (306°),16:02:13,+2:40,Rest of night,,03:12,22:49,04:14,21:45,12:59 (58.5°),151.442
23,04:57 ? (54°),21:02 ? (306°),16:04:50,+2:36,Rest of night,,03:09,22:51,04:13,21:47,12:59 (58.6°),151.471
24,04:56 ? (53°),21:04 ? (307°),16:07:23,+2:32,Rest of night,,03:07,22:53,04:12,21:48,12:59 (58.8°),151.499
25,04:55 ? (53°),21:05 ? (307°),16:09:51,+2:28,Rest of night,,03:05,22:56,04:10,21:50,12:59 (59.0°),151.527
26,04:54 ? (53°),21:06 ? (307°),16:12:16,+2:24,Rest of night,,03:03,22:58,04:09,21:52,13:00 (59.2°),151.554
27,04:53 ? (52°),21:07 ? (308°),16:14:36,+2:20,Rest of night,,03:01,23:00,04:07,21:53,13:00 (59.4°),151.58
28,04:52 ? (52°),21:09 ? (308°),16:16:52,+2:15,Rest of night,,02:59,23:02,04:06,21:55,13:00 (59.5°),151.605
29,04:51 ? (52°),21:10 ? (308°),16:19:03,+2:11,Rest of night,,02:57,23:05,04:05,21:56,13:00 (59.7°),151.63
30,04:50 ? (52°),21:11 ? (309°),16:21:10,+2:06,Rest of night,,02:55,23:07,04:04,21:57,13:00 (59.8°),151.653
31,04:49 ? (51°),21:12 ? (309°),16:23:12,+2:01,Rest of night,,02:53,23:09,04:03,21:59,13:00 (60.0°),151.676
Jun,Sunrise,Sunset,Length,Diff.,Start,End,Start,End,Start,End,Time,Mil. km
,,,,,,,,,,,,
1,04:48 ? (51°),21:13 ? (309°),16:25:08,+1:56,Rest of night,,02:52,23:11,04:02,22:00,13:00 (60.1°),151.698
2,04:47 ? (51°),21:14 ? (309°),16:27:00,+1:51,Rest of night,,02:50,23:13,04:01,22:01,13:01 (60.2°),151.72
3,04:47 ? (50°),21:15 ? (310°),16:28:47,+1:46,Rest of night,,02:48,23:15,04:00,22:03,13:01 (60.3°),151.741
4,04:46 ? (50°),21:16 ? (310°),16:30:28,+1:41,Rest of night,,02:47,23:17,03:59,22:04,13:01 (60.5°),151.761
5,04:45 ? (50°),21:17 ? (310°),16:32:04,+1:35,Rest of night,,02:45,23:18,03:58,22:05,13:01 (60.6°),151.781
6,04:45 ? (50°),21:18 ? (310°),16:33:34,+1:30,Rest of night,,02:44,23:20,03:57,22:06,13:01 (60.7°),151.8
7,04:44 ? (50°),21:19 ? (311°),16:34:59,+1:24,Rest of night,,02:42,23:22,03:56,22:07,13:01 (60.8°),151.819
8,04:44 ? (49°),21:20 ? (311°),16:36:19,+1:19,Rest of night,,02:41,23:23,03:56,22:08,13:02 (60.9°),151.837
9,04:43 ? (49°),21:21 ? (311°),16:37:32,+1:13,Rest of night,,02:40,23:25,03:55,22:09,13:02 (60.9°),151.854
10,04:43 ? (49°),21:22 ? (311°),16:38:40,+1:07,Rest of night,,02:39,23:26,03:55,22:10,13:02 (61.0°),151.872
11,04:43 ? (49°),21:22 ? (311°),16:39:42,+1:01,Rest of night,,02:38,23:28,03:54,22:11,13:02 (61.1°),151.888
12,04:42 ? (49°),21:23 ? (311°),16:40:38,+0:56,Rest of night,,02:37,23:29,03:54,22:12,13:02 (61.1°),151.905
13,04:42 ? (49°),21:24 ? (311°),16:41:28,+0:50,Rest of night,,02:36,23:30,03:53,22:12,13:03 (61.2°),151.92
14,04:42 ? (49°),21:24 ? (311°),16:42:12,+0:44,Rest of night,,02:36,23:31,03:53,22:13,13:03 (61.3°),151.936
15,04:42 ? (49°),21:25 ? (312°),16:42:50,+0:37,Rest of night,,02:35,23:32,03:53,22:14,13:03 (61.3°),151.95
16,04:42 ? (48°),21:25 ? (312°),16:43:22,+0:31,Rest of night,,02:35,23:32,03:53,22:14,13:03 (61.3°),151.965
17,04:42 ? (48°),21:25 ? (312°),16:43:48,+0:25,Rest of night,,02:34,23:33,03:53,22:14,13:04 (61.4°),151.978
18,04:42 ? (48°),21:26 ? (312°),16:44:07,+0:19,Rest of night,,02:34,23:34,03:53,22:15,13:04 (61.4°),151.991
19,04:42 ? (48°),21:26 ? (312°),16:44:20,+0:13,Rest of night,,02:34,23:34,03:53,22:15,13:04 (61.4°),152.004
20,04:42 ? (48°),21:26 ? (312°),16:44:27,+0:06,Rest of night,,02:34,23:34,03:53,22:15,13:04 (61.4°),152.015
21,04:42 ? (48°),21:27 ? (312°),16:44:28,< 1s,Rest of night,,02:34,23:35,03:53,22:16,13:04 (61.4°),152.026
22,04:42 ? (48°),21:27 ? (312°),16:44:22,?0:05,Rest of night,,02:34,23:35,03:53,22:16,13:05 (61.4°),152.036
23,04:43 ? (48°),21:27 ? (312°),16:44:11,?0:11,Rest of night,,02:35,23:35,03:54,22:16,13:05 (61.4°),152.045
24,04:43 ? (48°),21:27 ? (312°),16:43:53,?0:18,Rest of night,,02:35,23:34,03:54,22:16,13:05 (61.4°),152.054
25,04:43 ? (48°),21:27 ? (312°),16:43:28,?0:24,Rest of night,,02:36,23:34,03:54,22:16,13:05 (61.3°),152.061
26,04:44 ? (48°),21:27 ? (311°),16:42:58,?0:30,Rest of night,,02:37,23:34,03:55,22:16,13:05 (61.3°),152.067
